Use,Lbound,Ubound,E[r],Sigma,Crisis Beta,Corr,BH Funds,BH Mgmt Co,Public Equities,PE/VC,Resi RE,Comm RE,Control Fintech,Coins/Crypto Funds,Art,Commodities,Cash,,Det,,,
1,0.0%,100.0%,10.0%,10.00%,0.0,BH Funds,1,0.75,0,0,0,0,0,0,0,0,0,, 1.000 ,1,,
1,16.0%,16.1%,10.0%,25.00%,0.2,BH Mgmt Co,0.75,1,0,0,0,0,0,0,0,0,0,, 0.438 ,2,,
1,0.0%,100.0%,8.0%,18.00%,1.0,Public Equities,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,, 0.438 ,3,,
1,0.0%,100.0%,15.0%,30.00%,1.0,PE/VC,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,, 0.109 ,4,,
1,4.0%,4.1%,2.0%,7.00%,0.5,Resi RE,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,, 0.055 ,5,,
1,0.0%,100.0%,15.0%,25.00%,1.0,Comm RE,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,, 0.027 ,6,,
1,0.0%,100.0%,20.0%,35.00%,0.7,Control Fintech,0,0,0.5,0.5,0.5,0.5,1,0.75,0.5,0,0,, 0.014 ,7,,
1,0.0%,100.0%,25.0%,60.00%,0.4,Coins/Crypto Funds,0,0,0.5,0.5,0.5,0.5,0.75,1,0.5,0,0,, 0.005 ,8,,
1,11.0%,100.0%,5.0%,20.00%,0.5,Art,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,, 0.003 ,9,,
0,0.0%,100.0%,3.0%,25.00%,0.0,Commodities,0,0,0,0,0,0,0,0,0,1,0,, 0.003 ,10,,
1,0.0%,100.0%,0.0%,0.00%,0.0,Cash,0,0,0,0,0,0,0,0,0,0,1,, 0.003 ,11,,
***,,,,,,,,,,,,,,,,,,,,,,
***,,,E[Jump],Sigma,Prob,JumpCorr,BH Funds,BH Mgmt Co,Public Equities,PE/VC,Resi RE,Comm RE,Control Fintech,Coins/Crypto Funds,Art,Commodities,Cash,,Det,,,
,,,-15%,35.00%,10.00%,BH Funds,1,0.95,0,0,0,0,0,0,0,0,0,, 1.00 ,1,,
,,,-40%,50.00%,10.00%,BH Mgmt Co,0.95,1,0,0,0,0,0,0,0,0,0,, 0.10 ,2,,
,,,-90%,5.00%,0.10%,Public Equities,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,, 0.10 ,3,,
,,,-90%,5.00%,1.00%,PE/VC,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,, 0.02 ,4,,
,,,0%,0.00%,0.00%,Resi RE,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,, 0.01 ,5,,
,,,-90%,5.00%,1.00%,Comm RE,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,, 0.01 ,6,,
,,,-80%,1.00%,5.00%,Control Fintech,0,0,0.5,0.5,0.5,0.5,1,0.75,0.5,0,0,, 0.00 ,7,,
,,,-99%,1.00%,5.00%,Coins/Crypto Funds,0,0,0.5,0.5,0.5,0.5,0.75,1,0.5,0,0,, 0.00 ,8,,
,,,-50%,5.00%,1.00%,Art,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,, 0.00 ,9,,
,,,0%,0.00%,0.00%,Commodities,0,0,0,0,0,0,0,0,0,1,0,, 0.00 ,10,,
,,,0%,0.00%,0.00%,Cash,0,0,0,0,0,0,0,0,0,0,1,, 0.00 ,11,,
*****,,,,,,,,,,,,,,,,,,,,,,
,,,Equity Beta,E[r] (G),E[r] (A),,w,,,,,,,,,,,,,,,
,,, -   ,8.00%,8.50%,BH Funds,7%,,,,,,,,,,,,,,,
,,, -   ,2.13%,5.25%,BH Mgmt Co,16%,,,,,,,,,,,,,,,
,,, 1.00 ,3.59%,5.21%,Public Equities,0,,,,,,,,,,,,,,,
,,, 0.83 ,5.10%,9.60%,PE/VC,8%,,,,,,,,,,,,,,,
,,, 0.19 ,1.23%,1.48%,Resi RE,4%,,,,,,,,,,,,,,,
,,, 0.69 ,7.23%,10.35%,Comm RE,15%,,,,,,,,,,,,,,,
,,, 0.97 ,6.20%,12.33%,Control Fintech,10%,,,,,,,,,,,,,,,
,,, 1.67 ,-1.55%,16.45%,Coins/Crypto Funds,21%,,,,,,,,,,,,,,,
,,, 0.56 ,1.00%,3.00%,Art,13%,,,,,,,,,,,,,,,
,,, -   ,-0.13%,3.00%,Commodities,2%,,,,,,,,,,,,,,,
,,, -   ,0.00%,0.00%,Cash,4%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
