Use,Lbound,Ubound,E[r],Sigma,Crisis Beta,Corr,HF,BHMC,Equity,RE,VC,Art,Bitcoin,Cash,,Det,,,
1,0%,100%,10%,12.00%,-0.6,HF,1,0.8,-0.5,-0.3,-0.2,-0.2,-0.2,0,, 1.00 ,1,,
1,40%,60%,10%,30.00%,0.5,BHMC,0.8,1,-0.3,-0.3,-0.2,-0.2,-0.2,0,, 0.36 ,2,,
1,0%,100%,6%,18.00%,1.0,Equity,-0.5,-0.3,1,0.7,0.8,0.6,0.3,0,, 0.26 ,3,,
1,0%,100%,6%,22.00%,1.0,RE,-0.3,-0.3,0.7,1,0.6,0.5,0.3,0,, 0.12 ,4,,
1,0%,100%,8%,40.00%,1.2,VC,-0.2,-0.2,0.8,0.6,1,0.5,0.5,0,, 0.03 ,5,,
1,0%,100%,5%,30.00%,0.75,Art,-0.2,-0.2,0.6,0.5,0.5,1,0.5,0,, 0.02 ,6,,
1,0%,100%,15%,80.00%,0.5,Bitcoin,-0.2,-0.2,0.3,0.3,0.5,0.5,1,0,, 0.01 ,7,,
1,0%,100%,0%,0.00%,0.0,Cash,0,0,0,0,0,0,0,1,, 0.01 ,8,,
***,,,,,,,,,,,,,,,,,,,
***,,,E[Jump],Sigma,Prob,JumpCorr,HF,BHMC,Equity,RE,VC,Art,Bitcoin,Cash,,Det,,,
,,,-20%,10.00%,5.00%,HF,1,0.8,0,0,0,0,0,0,, 1.00 ,1,,
,,,-60%,30.00%,5.00%,BHMC,0.8,1,0,0,0,0,0,0,, 0.36 ,2,,
,,,0%,0.00%,0.00%,Equity,0,0,1,0,0,0,0,0,, 0.36 ,3,,
,,,0%,0.00%,0.00%,RE,0,0,0,1,0,0,0,0,, 0.36 ,4,,
,,,0%,0.00%,0.00%,VC,0,0,0,0,1,0,0,0,, 0.36 ,5,,
,,,0%,0.00%,0.00%,Art,0,0,0,0,0,1,0,0,, 0.36 ,6,,
,,,0%,0.00%,0.00%,Bitcoin,0,0,0,0,0,0,1,0,, 0.36 ,7,,
,,,0%,0.00%,0.00%,Cash,0,0,0,0,0,0,0,1,, 0.36 ,8,,
*****,,,,,,,,,,,,,,,,,,,
