Use,Lbound,Ubound,E[r],Sigma,Crisis Beta,Corr,HF,BHMC_AM,BHMC_xAM,Equity,RE_Resi,RE_NonResi,VC,Art,Bitcoin,Digital VC,Cash,,Det,,,
1,0.0%,100.0%,10%,10.00%,-0.3,HF,1,0.5,0,0,0,0,0,0,0,0,0,, 1.000 ,1,,
1,12.8%,12.8%,10%,25.00%,-0.1,BHMC_AM,0.5,1,0,0,0,0,0,0,0,0,0,, 0.750 ,2,,
1,7.7%,7.7%,10%,30.00%,1.0,BHMC_xAM,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,, 0.750 ,3,,
1,0.0%,100.0%,8%,18.00%,1.0,Equity,0,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,, 0.563 ,4,,
1,4.5%,4.5%,2%,7.00%,0.5,RE_Resi,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,, 0.375 ,5,,
1,0.0%,100.0%,15%,25.00%,1.0,RE_NonResi,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,, 0.234 ,6,,
1,0.0%,100.0%,15%,30.00%,1.0,VC,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,, 0.141 ,7,,
1,10.0%,100.0%,5%,20.00%,0.50,Art,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,, 0.082 ,8,,
1,0.0%,100.0%,25%,70.00%,0.5,Bitcoin,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.75,0,, 0.047 ,9,,
1,0.0%,100.0%,20%,35.00%,0.7,Digital VC,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,0,, 0.018 ,10,,
1,0.0%,100.0%,0%,0.00%,0.0,Cash,0,0,0,0,0,0,0,0,0,0,1,, 0.018 ,11,,
***,,,,,,,,,,,,,,,,,,,,,,
***,,,E[Jump],Sigma,Prob,JumpCorr,HF,BHMC_AM,BHMC_xAM,Equity,RE_Resi,RE_NonResi,VC,Art,Bitcoin,Digital VC,Cash,,Det,,,
,,,-15%,35.00%,10.00%,HF,1,0.95,0.5,0,0,0,0,0,0,0,0,, 1.00 ,1,,
,,,-40%,50.00%,10.00%,BHMC_AM,0.95,1,0.5,0,0,0,0,0,0,0,0,, 0.10 ,2,,
,,,-90%,5.00%,0.25%,BHMC_xAM,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,, 0.07 ,3,,
,,,-90%,5.00%,0.10%,Equity,0,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,, 0.05 ,4,,
,,,0%,0.00%,0.00%,RE_Resi,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,, 0.03 ,5,,
,,,-90%,5.00%,1.00%,RE_NonResi,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,, 0.02 ,6,,
,,,-90%,5.00%,1.00%,VC,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,, 0.01 ,7,,
,,,-50%,5.00%,1.00%,Art,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,, 0.01 ,8,,
,,,-99%,1.00%,5.00%,Bitcoin,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.75,0,, 0.00 ,9,,
,,,,,,Digital VC,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,0,, 0.00 ,10,,
,,,0%,0.00%,0.00%,Cash,0,0,0,0,0,0,0,0,0,0,1,, 0.00 ,11,,
*****,,,,,,,,,,,,,,,,,,,,,,
,,,Equity Beta,E[r] (G),E[r] (A),,,,,,,,,,,,,,,,,
,,, -   ,8.45%,8.95%,HF,,,,,,,,,,,,,,,,
,,, -   ,3.25%,6.38%,BHMC_AM,,,,,,,,,,,,,,,,
,,, 0.83 ,0.78%,5.28%,BHMC_xAM,,,,,,,,,,,,,,,,
,,, 1.00 ,3.59%,5.21%,Equity,,,,,,,,,,,,,,,,
,,, 0.19 ,1.23%,1.48%,RE_Resi,,,,,,,,,,,,,,,,
,,, 0.69 ,7.23%,10.35%,RE_NonResi,,,,,,,,,,,,,,,,
,,, 0.83 ,5.10%,9.60%,VC,,,,,,,,,,,,,,,,
,,, 0.56 ,1.00%,3.00%,Art,,,,,,,,,,,,,,,,
,,, 1.94 ,-9.70%,14.80%,Bitcoin,,,,,,,,,,,,,,,,
,,, 0.97 ,10.20%,16.33%,Digital VC,,,,,,,,,,,,,,,,
,,, -   ,0.00%,0.00%,Cash,,,,,,,,,,,,,,,,
